sample ID	forward sequence count	reverse sequence count
YUN3428.2	4494	4494
BAQ4166.1.2	4106	4106
YUN3533.3	4049	4049
BAQ4166.3	4033	4033
BAQ4166.2	3933	3933
YUN3856.3	3891	3891
BAQ3473.3	3833	3833
YUN3533.2	3768	3768
BAQ3473.1	3701	3701
BAQ4697.3	3457	3457
YUN3259.3	3373	3373
YUN3428.3	3368	3368
BAQ4166.1.1	3230	3230
YUN3259.2	3227	3227
YUN3856.1.1	3188	3188
YUN3428.1	3154	3154
YUN3856.2	3095	3095
BAQ3473.2	3093	3093
YUN3856.1.2	3087	3087
BAQ4166.1.3	3040	3040
YUN3533.1.1	2956	2956
YUN3533.1.2	2955	2955
BAQ2462.1	2934	2934
YUN2029.2	2857	2857
BAQ4697.1	2833	2833
BAQ2687.3	2808	2808
YUN1005.1.1	2753	2753
BAQ2687.1	2717	2717
YUN3533.1.3	2480	2480
BAQ4697.2	2469	2469
YUN3346.3	2440	2440
BAQ2420.1.1	2360	2360
YUN1609.1	2326	2326
YUN1242.3	2311	2311
YUN3856.1.3	2296	2296
BAQ2687.2	2224	2224
BAQ2420.1.2	2151	2151
YUN3346.1	2141	2141
YUN3259.1.2	2096	2096
BAQ2420.1.3	2051	2051
BAQ2420.3	1995	1995
BAQ2462.2	1981	1981
BAQ2420.2	1970	1970
BAQ2838.1	1904	1904
YUN1242.1	1898	1898
YUN3153.3	1822	1822
BAQ2838.2	1678	1678
BAQ2462.3	1505	1505
YUN3153.2	1493	1493
YUN1005.3	1302	1302
BAQ2838.3	1188	1188
YUN3259.1.3	880	880
YUN3346.2	579	579
YUN3259.1.1	196	196
YUN1242.2	32	32
YUN2029.1	23	23
BAQ1552.1.1	21	21
BAQ1370.1.3	19	19
BAQ895.2	17	17
YUN3008.1.3	16	16
YUN3008.3	11	11
YUN3153.1	9	9
YUN1005.2	9	9
YUN3008.1.1	8	8
YUN3184.2	7	7
YUN1005.1.3	6	6
BAQ1552.2	6	6
YUN2029.3	6	6
YUN1609.3	5	5
BAQ1370.1.2	5	5
YUN3184.1	4	4
YUN3008.1.2	4	4
YUN3008.2	3	3
BAQ895.3	2	2
BAQ1370.3	1	1
